#dataset,ClassEnt, AttrEntMin, AttrEntMean, AttrEntMax, JointEnt, MutInfoMin, MutInfoMean, MutInfoMax, EquiAttr,NoiseRatio, StandardDevMin, StandardDevMean, StandardDevMax, SkewnessMin, SkewnessMean, SkewnessMax,KurtosisMin, KurtosisMean, KurtosisMax, treewidth, treeheight, NoNode, NoLeave, maxLevel, meanLevel, devLevel,ShortBranch, meanBranch, devBranch, maxAtt, minAtt, meanAtt, devAtt
0_dt,0.998845536,0.354541415,0.354541415,0.354541415,3.792301457,0,0.499422768,0.998845536,2,5.593369186,0,0.173333333,0.5,-7.96E-15,1.98E-16,7.96E-15,-3,-2.04,-2,3,1,3,2,2,2,0,1,1,0,1,0,0.5,0.5
0_knn,0.998845536,0.354541415,0.354541415,0.354541415,3.792301457,0,0.499422768,0.998845536,2,5.593369186,0,0.173333333,0.5,-7.96E-15,1.98E-16,7.96E-15,-3,-2.04,-2,3,1,3,2,2,2,0,1,1,0,1,0,0.5,0.5
0_nb,0.998845536,0.354541415,0.354541415,0.354541415,3.792301457,0,0.499422768,0.998845536,2,5.593369186,0,0.173333333,0.5,-7.96E-15,1.98E-16,7.96E-15,-3,-2.04,-2,3,1,3,2,2,2,0,1,1,0,1,0,0.5,0.5
10_dt,0.998845536,0.354541415,0.354541415,0.354541415,3.792301457,0,0.499422768,0.998845536,2,5.593369186,0,0.173333333,0.5,-7.96E-15,1.98E-16,7.96E-15,-3,-2.04,-2,3,1,3,2,2,2,0,1,1,0,1,0,0.5,0.5
10_knn,0.999998153,0.354541415,0.354541415,0.354541415,3.830421604,0.001029471,0.462455239,0.923881007,2.162367445,6.120426828,0,0.173333333,0.5,-7.96E-15,1.98E-16,7.96E-15,-3,-2.04,-2,4,3,7,4,2,2,0,1,2.25,0.829156198,2,1,1.5,0.5
10_nb,0.017166804,0.354541415,0.354541415,0.354541415,3.304665793,0.00490784,0.0053797,0.005851561,3.191033537,611.0933276,0,0.173333333,0.5,-7.96E-15,1.98E-16,7.96E-15,-3,-2.04,-2,4,4,9,5,2,2,0,1,2.8,1.166190379,2,2,2,0
11_dt,0.017166804,0.354541415,0.354541415,0.354541415,3.304665793,0.00490784,0.0053797,0.005851561,3.191033537,611.0933276,0,0.173333333,0.5,-7.96E-15,1.98E-16,7.96E-15,-3,-2.04,-2,4,4,9,5,2,2,0,1,2.8,1.166190379,2,2,2,0
11_knn,0.017166804,0.354541415,0.354541415,0.354541415,3.304665793,0.00490784,0.0053797,0.005851561,3.191033537,611.0933276,0,0.173333333,0.5,-7.96E-15,1.98E-16,7.96E-15,-3,-2.04,-2,4,4,9,5,2,2,0,1,2.8,1.166190379,2,2,2,0
11_nb,0.017166804,0.354541415,0.354541415,0.354541415,3.304665793,0.00490784,0.0053797,0.005851561,3.191033537,611.0933276,0,0.173333333,0.5,-7.96E-15,1.98E-16,7.96E-15,-3,-2.04,-2,4,4,9,5,2,2,0,1,2.8,1.166190379,2,2,2,0
12_dt,0.998845536,0.354541415,0.354541415,0.354541415,3.847399207,0,0.444325018,0.888650036,2.248006517,6.410968449,0,0.173333333,0.5,-7.96E-15,1.98E-16,7.96E-15,-3,-2.04,-2,3,1,3,2,2,2,0,1,1,0,1,0,0.5,0.5
