#dataset,F1,F1v,F2,F3,F4,N1,N2,N3,N4,T1,LSC,L1,L2,L3,T2,T3,T4,C1,C2,Density,ClsCoef,Hubs
0_dt,6.116883117,11.98089231,0,1,1,0.0672,0.147928994,0.048,0,0.08,0.11346944,0,0,0,312.5,312.5,1,0.998845536,1.003205128,0.150051282,0.6736919,0.34753945
0_knn,6.116883117,11.98089231,0,1,1,0.0672,0.147928994,0.048,0,0.08,0.11346944,0,0,0,312.5,312.5,1,0.998845536,1.003205128,0.150051282,0.6736919,0.34753945
0_nb,6.116883117,11.98089231,0,1,1,0.0672,0.147928994,0.048,0,0.08,0.11346944,0,0,0,312.5,312.5,1,0.998845536,1.003205128,0.150051282,0.6736919,0.34753945
1_dt,6.116883117,11.98089231,0,1,1,0.0224,0.147928994,0,0,0.08,0.12066304,0,0,0,312.5,312.5,1,0.998845536,1.003205128,0.150805128,0.673665444,0.339411111
1_knn,6.116883117,11.98089231,0,1,1,0.0224,0.147928994,0,0,0.08,0.12066304,0,0,0,312.5,312.5,1,0.998845536,1.003205128,0.150805128,0.673665444,0.339411111
1_nb,6.116883117,11.98089231,0,1,1,0.0224,0.147928994,0,0,0.08,0.12066304,0,0,0,312.5,312.5,1,0.998845536,1.003205128,0.150805128,0.673665444,0.339411111
10_dt,6.116883117,11.98089231,0,1,1,0.0608,0.147928994,0.0544,0,0.08,0.11346944,0,0,0,312.5,312.5,1,0.998845536,1.003205128,0.149774359,0.674923893,0.34587241
10_knn,5.962025316,11.96163082,0,0.96,1,0.0416,0.147928994,0.0224,0.0032,0.0768,0.11684608,0,0,0.0016,312.5,312.5,1,0.999998153,1.00000512,0.15,0.675021062,0.343480947
12_dt,6.116883117,11.98089231,0,1,1,0.0256,0.147928994,0,0,0.08,0.12066304,0,0,0,312.5,312.5,1,0.998845536,1.003205128,0.150553846,0.674673348,0.347904035
12_knn,6.527478214,4.82145258,0.354166667,0.48,0.6256,0.0544,0.124007937,0.0336,0.0496,0.0544,0.16611584,0.064886566,0.096,0.04,312.5,312.5,1,0.800321393,1.716597585,0.147117949,0.671026492,0.428971935
12_nb,inf,0.024472322,0,0.96,0.9904,0.016,0.097185508,0.0064,0.0176,0.0288,0.21852416,0.0096,0.0096,0.008,312.5,312.5,1,0.078129578,51.58817986,0.164948718,0.637412021,0.751421421
13_dt,3.64575408,5.336177848,0.229166667,0.52,1,0.0464,0.12618615,0.032,0.04,0.072,0.1584256,0.05305727,0.08,0.0736,312.5,312.5,1,0.810643524,1.669516429,0.150846154,0.6711877,0.422764526
15_dt,6.116883117,11.98089231,0,1,1,0.0256,0.147928994,0,0,0.08,0.12066304,0,0,0,312.5,312.5,1,0.998845536,1.003205128,0.150574359,0.674645919,0.347997688
15_knn,4.986399479,7.466537254,0.439236111,0.52,0.7888,0.0528,0.127317173,0.0304,0.0288,0.0592,0.15889664,0.029595523,0.0592,0.0288,312.5,312.5,1,0.935841553,1.192059484,0.146764103,0.670029693,0.383258531
15_nb,0.055353184,0.072488515,0.916666667,0.08,0.1536,0.12,0.216038714,0.08,0.1824,0.0816,0.06427136,0.2538115,0.4016,0.4176,312.5,312.5,1,0.997470458,1.007033931,0.120066667,0.711022179,0.209088027
16_dt,6.761538462,11.53806429,0,1,1,0.0224,0.14619883,0.0048,0,0.08,0.12191744,0,0,0,312.5,312.5,1,0.989587521,1.029220779,0.150353846,0.674909387,0.367162845
16_knn,3.590279521,9.735600242,0.458333333,0.52,0.5776,0.0576,0.136314068,0.032,0.024,0.056,0.13768448,0,0,0.0256,312.5,312.5,1,0.992658185,1.020529877,0.146015385,0.673820783,0.310624096
