filename,knnsqrt-cv0,knnsqrt-cv1,knnsqrt-cv2,knnsqrt-cv3,knnsqrt-cv4,knnsqrt-cv5,knnsqrt-cv6,knnsqrt-cv7,knnsqrt-cv8,knnsqrt-cv9,knnallrew-cv0,knnallrew-cv1,knnallrew-cv2,knnallrew-cv3,knnallrew-cv4,knnallrew-cv5,knnallrew-cv6,knnallrew-cv7,knnallrew-cv8,knnallrew-cv9,nbpkid-cv0,nbpkid-cv1,nbpkid-cv2,nbpkid-cv3,nbpkid-cv4,nbpkid-cv5,nbpkid-cv6,nbpkid-cv7,nbpkid-cv8,nbpkid-cv9,dtc44-cv0,dtc44-cv1,dtc44-cv2,dtc44-cv3,dtc44-cv4,dtc44-cv5,dtc44-cv6,dtc44-cv7,dtc44-cv8,dtc44-cv9
ECOC0,0.409638554,0.409064831,0.40734366,0.402753873,0.410212278,0.411933448,0.408491107,0.407917384,0.412507172,0.410212278,0.663798049,0.662650602,0.663224326,0.662650602,0.663224326,0.662076879,0.661503155,0.664945496,0.661503155,0.662076879,0.785427424,0.791164659,0.788296041,0.786001147,0.788296041,0.782558807,0.787148594,0.789443488,0.78313253,0.786001147,0.796901893,0.792885829,0.794606999,0.800344234,0.790017212,0.795180723,0.792312106,0.79632817,0.794606999,0.810097533
ECOC1,0.285140562,0.281124498,0.284566839,0.284566839,0.279403328,0.283419392,0.28800918,0.279403328,0.295467585,0.283419392,0.344234079,0.355134825,0.356855995,0.353413655,0.351692484,0.333907057,0.332185886,0.343660356,0.361445783,0.356282272,0.841652324,0.837062536,0.829030407,0.843373494,0.842226047,0.843947217,0.838209983,0.83935743,0.83935743,0.850258176,0.868043603,0.857716581,0.859437751,0.859437751,0.864601262,0.857142857,0.858864028,0.853700516,0.850258176,0.862880092
ECOC10,0.255306942,0.251290878,0.254159495,0.258749283,0.257601836,0.258175559,0.250143431,0.257601836,0.251864601,0.255880666,0.54962708,0.547905909,0.547905909,0.548479633,0.549053356,0.547905909,0.547905909,0.548479633,0.548479633,0.547905909,0.787722318,0.791738382,0.791164659,0.795180723,0.793459552,0.794033276,0.794606999,0.791164659,0.792885829,0.791738382,0.787722318,0.776821572,0.765920826,0.779690189,0.788869765,0.76993689,0.779116466,0.782558807,0.772231784,0.784279977
ECOC100,0.280174768,0.282905516,0.287820863,0.275805571,0.280720918,0.285090115,0.286182414,0.289459312,0.282905516,0.282905516,0.572364828,0.571272529,0.570726379,0.56963408,0.572910978,0.571272529,0.570726379,0.571272529,0.570726379,0.571818678,0.724740579,0.727471327,0.724740579,0.72364828,0.728563626,0.726925177,0.725832878,0.726925177,0.726379028,0.724740579,0.864554888,0.871654833,0.865101038,0.886947023,0.879300928,0.882577826,0.866193337,0.87711633,0.878754779,0.871108684
ECOC101,0.311305298,0.30748225,0.310759148,0.30748225,0.306389951,0.313489896,0.305297652,0.313489896,0.309666849,0.314582196,0.743309667,0.743309667,0.742763517,0.742763517,0.741125068,0.742763517,0.742217368,0.743309667,0.742763517,0.741125068,0.694702348,0.689787002,0.694702348,0.695794648,0.702894593,0.696340797,0.697979246,0.699617695,0.694702348,0.696886947,0.823593665,0.847078099,0.831785909,0.833970508,0.827962862,0.825778263,0.828509011,0.827416712,0.838339705,0.814309121
ECOC102,0.309120699,0.309120699,0.301474604,0.303659203,0.308574549,0.302566903,0.3069361,0.303659203,0.298197706,0.3069361,0.443473512,0.443473512,0.443473512,0.442927362,0.443473512,0.443473512,0.443473512,0.442927362,0.443473512,0.442927362,0.773894047,0.776078646,0.773894047,0.775532496,0.776078646,0.778263244,0.774986346,0.773347897,0.774986346,0.773894047,0.870016384,0.871654833,0.880393228,0.87711633,0.87711633,0.873293282,0.879847078,0.873293282,0.868924085,0.883123976
ECOC103,0.3080284,0.312397597,0.309120699,0.3080284,0.305843801,0.310212998,0.309666849,0.3080284,0.311305298,0.305297652,0.843801202,0.839978154,0.842162753,0.839978154,0.843801202,0.842708902,0.841070453,0.839432004,0.841616603,0.842708902,0.797378482,0.80010923,0.796286182,0.791916985,0.795740033,0.795740033,0.789732387,0.789732387,0.797924631,0.798470781,0.890770071,0.891316221,0.89295467,0.900054615,0.901693064,0.895685418,0.897870016,0.895685418,0.895139268,0.894593119
ECOC104,0.27744402,0.286182414,0.280174768,0.282359366,0.283997815,0.283451666,0.279628618,0.274713271,0.280174768,0.283997815,0.574003277,0.572364828,0.572910978,0.571818678,0.572364828,0.574549427,0.573457127,0.572364828,0.573457127,0.572364828,0.724740579,0.734025123,0.728563626,0.728563626,0.726925177,0.728563626,0.728017477,0.725286729,0.726379028,0.72310213,0.884216275,0.87657018,0.883670126,0.874385582,0.871108684,0.881485527,0.884762425,0.87766248,0.880393228,0.878208629
ECOC105,0.312943747,0.306389951,0.3080284,0.304205352,0.315128345,0.315128345,0.306389951,0.309120699,0.308574549,0.309120699,0.742217368,0.742763517,0.741671218,0.742217368,0.741671218,0.741671218,0.742763517,0.741671218,0.741125068,0.744401966,0.698525396,0.699071546,0.696886947,0.696340797,0.696340797,0.694156199,0.693610049,0.695248498,0.694156199,0.697979246,0.827962862,0.844347351,0.831785909,0.829601311,0.836155106,0.818132168,0.843255052,0.836701256,0.849262698,0.832332059
ECOC106,0.302566903,0.30748225,0.303659203,0.304751502,0.303113053,0.310759148,0.305843801,0.303659203,0.308574549,0.310212998,0.443473512,0.444019661,0.444565811,0.444019661,0.444565811,0.44565811,0.444019661,0.444565811,0.444565811,0.445111961,0.778263244,0.779355543,0.775532496,0.776078646,0.774986346,0.775532496,0.774440197,0.774440197,0.774440197,0.774440197,0.870562534,0.883123976,0.880393228,0.873293282,0.871108684,0.881485527,0.872747133,0.865101038,0.870562534,0.876024031
