filename,knnallrew-cv0,knnallrew-cv1,knnallrew-cv2,knnallrew-cv3,knnallrew-cv4,knnallrew-cv5,knnallrew-cv6,knnallrew-cv7,knnallrew-cv8,knnallrew-cv9,nbpkid-cv0,nbpkid-cv1,nbpkid-cv2,nbpkid-cv3,nbpkid-cv4,nbpkid-cv5,nbpkid-cv6,nbpkid-cv7,nbpkid-cv8,nbpkid-cv9,dtc44-cv0,dtc44-cv1,dtc44-cv2,dtc44-cv3,dtc44-cv4,dtc44-cv5,dtc44-cv6,dtc44-cv7,dtc44-cv8,dtc44-cv9
0_dt,0.9968,0.9984,1,0.9968,0.9984,1,0.9984,0.992,0.9984,0.9856,1,0.9968,0.9984,0.9904,1,0.9968,0.9952,0.9984,0.9792,0.9936,1,1,1,1,1,1,1,1,1,1
0_knn,1,1,0.9952,0.992,0.9984,1,1,1,0.9984,1,0.9936,0.9952,0.9888,0.9984,0.9952,0.992,0.9904,0.9984,0.9808,0.9872,1,1,1,1,1,1,1,1,1,1
0_nb,0.9984,1,0.9872,1,0.9952,1,0.9984,1,0.9952,0.9936,0.9936,0.9888,0.9952,1,0.9968,0.9968,0.9824,0.9936,0.9904,0.992,1,1,1,1,1,1,1,1,1,1
1_dt,0.992,0.9968,0.9984,0.9952,0.9984,0.9984,0.9952,0.9968,0.992,0.9952,0.9888,0.9984,0.9872,0.9936,0.9904,0.9936,1,0.9984,0.9888,0.9824,1,1,1,1,1,1,1,1,1,1
1_knn,1,1,0.9968,0.9984,0.9984,0.9936,0.9952,0.9936,0.9968,0.9904,0.992,0.9984,0.9984,1,0.9888,0.9968,0.9888,0.9968,0.9888,0.9904,1,1,1,1,1,1,1,1,1,1
1_nb,1,0.9936,0.9984,1,0.9888,1,0.9984,0.9968,0.9952,0.9936,0.9968,0.9952,0.9968,0.9888,0.9952,0.9984,0.992,0.9936,0.9872,1,1,1,1,1,1,1,1,1,1,1
2_dt,1,1,0.9936,0.9968,0.9984,0.9984,0.9984,0.9952,0.9936,0.9984,0.9952,0.9904,0.9984,1,0.992,0.992,0.9952,0.9904,0.9904,0.9952,1,1,1,1,1,1,1,1,1,1
2_knn,0.9984,0.9952,1,0.9968,0.9952,0.9968,0.9968,1,1,1,0.992,0.9904,0.9952,0.9936,0.9936,0.9968,0.9984,1,1,1,1,1,1,1,1,1,1,1,1,1
2_nb,0.9984,1,0.9904,0.9984,0.9888,0.9968,0.984,0.9984,0.992,0.9872,0.9936,0.9952,0.992,0.9936,0.9904,0.9968,0.9936,0.992,0.9872,0.9888,1,1,1,1,1,1,1,1,1,1
3_dt,1,0.9984,0.992,0.9984,0.9968,1,0.9968,1,0.9984,0.9968,0.9904,0.992,0.9936,0.9872,0.9984,0.9872,0.9984,0.9968,0.9872,0.9984,1,1,1,1,1,1,1,1,1,1
3_knn,0.9936,0.9984,1,0.9984,0.9856,0.9968,0.9984,0.9968,0.9984,0.9952,0.9936,0.9904,0.9952,0.9936,1,0.9968,0.9984,0.9968,0.9904,0.9936,1,1,1,1,1,1,1,1,1,1
3_nb,0.9984,0.992,0.9952,0.9968,0.9936,0.9984,0.9888,0.9984,0.9936,0.9952,0.9952,1,0.9952,0.9968,0.9904,0.9952,0.9904,0.9936,0.9952,0.9984,1,1,1,1,1,1,1,1,1,1
4_dt,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4_knn,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4_nb,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5_dt,1,0.9968,0.992,1,0.9968,0.9952,0.9968,0.9968,1,0.9984,0.9952,0.9904,0.9968,0.992,0.9872,0.992,0.992,0.9904,1,0.9936,1,1,1,1,1,1,1,1,1,1
5_knn,0.9984,0.992,0.9952,0.9968,0.992,0.9984,0.9952,0.9968,1,0.9952,0.992,0.9888,0.9936,0.9952,0.9984,0.9984,0.9904,0.9952,0.9984,0.9952,1,1,1,1,1,1,1,1,1,1
5_nb,0.9984,0.9952,0.9984,0.9968,0.9952,0.9984,1,0.9952,1,0.9936,0.9904,0.9968,0.9952,0.9952,0.9984,0.9936,0.9904,0.9904,0.9936,0.9984,1,1,1,1,1,1,1,1,1,1
6_dt,0.9984,0.9984,1,0.9952,0.9968,0.9888,0.9936,0.9936,1,0.9952,0.9968,1,0.9952,0.9984,0.9952,0.9968,0.9952,0.9888,0.984,0.9984,1,1,1,1,1,1,1,1,1,1
6_knn,0.9648,0.9792,0.9808,0.976,0.9792,0.9792,0.9792,0.9792,0.9776,0.9792,0.9808,0.976,0.9808,0.9808,0.9776,0.9792,0.9808,0.9776,0.9776,0.9808,0.9728,0.9744,0.9728,0.9712,0.9728,0.9712,0.9712,0.9712,0.9712,0.9728
6_nb,0.9984,0.9936,0.9952,0.9952,1,0.9984,0.9904,0.9984,0.9936,0.9968,0.9952,0.9936,0.992,1,0.9904,0.992,0.9936,0.9904,0.9984,0.9968,1,1,1,1,1,1,1,1,1,1
7_dt,0.9952,0.9984,1,0.992,1,0.9968,0.9968,1,0.9936,0.9968,0.9952,1,0.9936,0.9952,0.9904,0.9872,0.9904,0.9984,0.9968,0.9904,1,1,1,1,1,1,1,1,1,1
7_knn,0.9968,1,0.9952,0.9904,1,0.9968,0.992,1,0.9904,0.9952,0.9888,0.992,0.9856,0.9984,0.992,0.9904,0.9952,0.9904,0.9936,0.9904,1,1,1,1,1,1,1,1,1,1
7_nb,0.9952,0.992,0.9936,0.992,0.9968,0.9968,0.9984,0.9984,0.9984,1,0.9984,0.9904,0.9904,0.9968,0.9984,0.992,0.9808,0.9856,0.9968,0.9952,1,1,1,1,1,1,1,1,1,1
8_dt,0.9984,0.992,0.9984,1,0.9952,0.9968,0.9984,1,0.9968,0.9936,0.9936,0.984,0.9824,0.9984,0.9952,0.9952,0.992,0.9952,0.9952,0.9952,1,1,1,1,1,1,1,1,1,1
8_knn,0.9984,1,0.9952,0.9952,0.9984,1,0.9952,0.992,0.9936,0.9952,1,0.992,1,0.9792,1,0.992,0.9984,0.9984,1,0.9824,1,1,1,1,1,1,1,1,1,1
8_nb,0.9968,0.9952,0.9984,0.9984,0.9984,0.9936,0.9984,0.9952,1,0.9968,0.9952,0.9968,1,0.992,0.9984,0.9936,0.992,0.9968,0.992,0.9968,1,1,1,1,1,1,1,1,1,1
9_dt,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9_knn,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9_nb,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10_dt,0.9968,0.9888,0.9936,0.9984,0.9968,0.9984,0.992,0.9968,0.9952,0.9952,0.9936,0.992,0.9984,0.9936,0.9952,0.9936,0.9952,0.9968,0.9968,1,1,1,1,1,1,1,1,1,1,1
10_knn,0.9984,0.9968,1,0.9952,0.9952,0.9984,0.9952,0.9968,0.9984,0.9904,0.9776,0.9744,0.9824,0.9824,0.976,0.9792,0.9808,0.9808,0.9792,0.9792,0.9952,0.9984,0.9968,0.9968,0.9984,0.9984,0.9984,0.9984,0.9984,0.9984
10_nb,0.0992,0.0976,0.0976,0.0976,0.0976,0.0992,0.0976,0.0976,0.0992,0.0976,0.9984,0.9968,0.9968,0.9984,0.9968,0.9968,0.9984,0.9984,0.9984,0.9984,0.9968,0.9984,0.9968,0.9968,0.9968,0.9968,0.9952,0.9968,0.9968,0.9968
11_dt,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11_knn,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11_nb,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
12_dt,0.9968,1,0.9936,1,0.9936,0.9968,0.9952,1,1,0.9968,1,0.9904,0.9936,0.992,1,0.9936,0.9984,0.9872,0.9936,0.9888,1,1,1,1,1,1,1,1,1,1
12_knn,0.7824,0.7872,0.7856,0.7824,0.7856,0.7856,0.7824,0.7856,0.784,0.784,0.952,0.9488,0.9488,0.952,0.9568,0.9584,0.9584,0.9424,0.9472,0.9568,0.9712,0.9696,0.9712,0.9728,0.9744,0.9696,0.9696,0.9744,0.9824,0.9696
12_nb,0.0096,0.0096,0.0112,0.0112,0.0096,0.0096,0.0096,0.0096,0.0096,0.0096,0.992,0.992,0.9936,0.992,0.9872,0.9888,0.9904,0.9888,0.992,0.9936,0.9968,0.9968,0.9968,0.9968,0.9936,0.9968,0.9968,0.9968,0.9968,0.9952
13_dt,0.8096,0.808,0.8048,0.8048,0.8032,0.8096,0.8064,0.808,0.8112,0.808,0.9904,0.984,0.984,0.976,0.9872,0.984,0.9856,0.9856,0.9984,0.9744,1,1,1,1,1,1,1,1,1,1
13_knn,0.0992,0.0976,0.0976,0.0992,0.0976,0.0976,0.0992,0.0992,0.0992,0.0992,0.9968,0.9984,0.9968,0.9984,0.9952,0.9968,0.9984,0.9984,0.9984,0.9968,0.9952,0.9968,0.9968,0.9968,0.9968,0.9968,0.9968,0.9952,0.9952,0.9952
13_nb,0.0976,0.0976,0.0976,0.0992,0.0976,0.0976,0.0976,0.0976,0.0976,0.0992,0.9984,0.9984,0.9984,0.9984,0.9984,0.9968,0.9984,0.9984,0.9984,0.9968,0.9968,0.9968,0.9952,0.9968,0.9968,0.9952,0.9968,0.9968,0.9968,0.9968
14_dt,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
14_knn,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
14_nb,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
15_dt,0.9984,0.9984,0.9952,0.9984,0.9952,0.9984,0.9984,0.9968,1,0.992,0.9968,0.9872,0.9856,0.9968,0.9952,0.9936,0.9984,0.9936,0.9984,0.9984,1,1,1,1,1,1,1,1,1,1
